uid,version,timeToCheckout,timeToFirstAddToCart
5210241013,b,74994,21112
25176674223,a,133283,21493
13653046256,a,58880,13871
12305113273,b,33889,30152
32304744545,a,,35923
6243405316,a,,24069
36057415072,a,108226,39513
5543323621,a,,24451
23774562321,b,126301,42408
22103036321,b,88323,41974
34663106502,b,93538,16899
34735761125,b,,19456
3521266575,a,17733,10117
35704615470,b,71886,29103
13037173332,b,,
15102313004,b,53731,16692
166113636,b,78617,20653
30367647236,a,78053,35413
27246717246,a,111682,15232
7163474246,b,92457,47174
13322657506,b,114144,23672
2424025504,a,123317,49315
13575022507,b,66199,26975
26472103057,b,116576,73629
1436766762,a,,52303
33106127523,a,77968,33054
27177604051,b,86571,21289
23154203413,b,55730,24746
21441530003,b,48477,5380
23751172370,a,26334,8854
33141502261,a,,
17067575070,b,113737,41943
5342351306,a,137003,57472
23411251712,b,,
2327735375,b,91334,43222
13446060215,b,110469,21970
21000601221,a,66438,32194
13317614463,a,,
26200420757,b,,
35377025756,b,82614,50999
30346300315,a,99721,5847
32272635652,a,129964,56919
26166055313,b,,30349
37554076321,a,84722,16919
15120517235,a,41890,11792
31555031712,a,27216,7496
27314044641,b,66572,19325
36701122415,a,87282,6734
32474462660,b,92601,44904
36032005471,a,74252,7042
1071067222,a,68603,13058
21066210427,b,116312,27163
25714161625,b,73109,31203
32175653560,a,16943,2796
3450566174,a,37540,11356
24132363416,a,60018,21075
3046351564,b,81348,8033
5124442115,a,,
14760772171,a,69729,47345
7432033455,a,58081,7202
10662535054,b,32165,18934
30011303704,a,,
23702253201,a,88739,25025
1747317101,b,77904,18818
12053030672,a,74123,16261
23543476413,b,110057,23925
14330363015,a,38528,12779
24071755370,b,77194,27244
1601247661,b,125973,78452
30732067341,a,72720,25157
34071537674,b,75210,57523
34702534344,b,46672,15734
44243423,a,71519,26388
30030734774,a,80028,13328
5401522403,a,67797,2299
1126322301,a,69268,26619
30555556307,a,74164,29506
7552347442,a,76869,22649
2372653710,a,79341,10241
26614157703,b,165902,52793
32131720601,a,80349,30207
16403760642,a,82958,19497
31554727126,a,97567,62916
30524635214,a,14209,2160
23234630152,b,64694,29948
1727700703,a,63977,30061
27516410201,a,,
25754674433,a,90681,49640
30277527734,a,68730,7099
27417425022,b,,
1771121003,a,,
10003075462,b,87354,21850
23223155156,b,70603,35844
3525046740,b,50096,18685
7035356500,a,83892,35035
12345657262,a,44618,19403
25435701563,b,113404,46107
17757013603,b,93931,41830
24507224204,b,71910,31715
6260753465,a,79212,14618
10715267661,b,121318,28224
35724141402,a,81585,9705
22476404160,b,32590,9631
36371757724,a,59559,32895
11053735706,b,94320,57185
22160577603,b,36039,8762
37622143761,b,103686,18207
4741635126,a,55403,25981
10554204636,b,67131,20085
37761627567,b,112455,46476
15710110631,a,57513,14446
15045007442,a,81799,31432
13451473665,a,119688,26207
23523641073,b,127947,36448
6104212750,b,101247,28698
1212440144,a,,15905
27623137606,a,74630,41237
27106525745,a,47458,4395
25727243026,b,76003,12257
25421150065,a,52128,29465
14520201126,b,23982,21535
11663311513,a,93046,42132
13224752432,b,161076,76994
14265616643,a,50064,22566
24002654472,b,61359,38812
15307364372,b,,86718
30617132406,b,25513,7734
12617060252,b,40482,15697
27225223314,a,,
30446563530,b,121110,53781
23370406030,a,72233,22302
10150415650,a,112905,18698
31403242617,a,91118,49320
25740237527,a,111533,10157
25616667243,a,236283,45761
2020254206,a,70373,23866
32340567005,a,109150,14437
14477775131,b,57840,31149
3351404550,b,74034,27134
6717746013,b,93297,25879
16175670766,a,25150,10235
21523006126,b,59698,21997
24746424716,a,33302,12524
31411350561,a,88434,29036
33641460736,a,61923,12930
20420557211,b,99511,41684
10262370027,b,,
21404740243,a,92273,37646
5445541355,b,75220,55559
16341577563,b,120612,40717
14110152551,b,35052,29425
3406614242,b,98092,32656
32235652724,b,69289,10885
1527434410,b,68894,32983
