uid,version,timeToCheckout,timeToFirstAddToCart
20636101631,b,45460,7911
2020254206,a,70373,23866
23167640044,a,,
32474462660,b,92601,44904
26550046615,a,87641,19041
34472414051,a,51742,10842
32765661727,a,,
1771121003,a,,
3303246644,a,,11434
3351404550,b,74034,27134
31211776747,b,69255,13181
7163474246,b,92457,47174
37622143761,b,103686,18207
24746424716,a,33302,12524
5271226313,b,96865,51333
30570113151,b,74959,13961
21576226335,b,54139,16892
6116635560,a,56687,23635
37022457665,a,46161,11470
6515320376,b,98609,50136
23370406030,a,72233,22302
23302032304,a,78506,11776
1126322301,a,69268,26619
17774127040,a,107595,11353
36701122415,a,87282,6734
22476404160,b,32590,9631
33106127523,a,77968,33054
12345657262,a,44618,19403
17760021173,b,132938,63119
32615402622,a,27501,9322
6717746013,b,93297,25879
24132363416,a,60018,21075
23023124406,a,69150,27737
23735603342,a,36179,9314
36014126510,a,141590,7205
15120517235,a,41890,11792
21066210427,b,116312,27163
23543476413,b,110057,23925
26131115573,a,113317,7394
24765527757,b,47737,12626
36477611340,a,73554,60927
36730433365,a,147628,29625
37554076321,a,84722,16919
30025750175,b,161436,30181
34053534470,a,48925,8878
30555556307,a,74164,29506
6260753465,a,79212,14618
25326117147,b,134057,49364
23223155156,b,70603,35844
1745554154,b,50641,43545
12064532003,a,60064,24300
13717576557,b,20769,7637
36554357054,a,,26506
3406614242,b,98092,32656
5342351306,a,137003,57472
