uid,version,timeToCheckout,timeToFirstAddToCart
35704615470,b,71886,29103
31766347125,b,,2831
2701225773,a,69438,17852
30324444036,b,85557,23169
37601510727,a,69132,16356
10526360276,b,77271,24345
34663106502,b,93538,16899
30030734774,a,80028,13328
32151703736,b,70177,14939
6515320376,b,98609,50136
30555556307,a,74164,29506
6717746013,b,93297,25879
13037173332,b,,
25175033750,b,156098,68784
26550046615,a,87641,19041
7163474246,b,92457,47174
36057415072,a,108226,39513
25714161625,b,73109,31203
502022430,b,72801,22533
36475347507,b,100082,26539
166113636,b,78617,20653
16403760642,a,82958,19497
33106127523,a,77968,33054
30032610126,a,69899,43180
32272635652,a,129964,56919
21000601221,a,66438,32194
25326117147,b,134057,49364
25754674433,a,90681,49640
27177604051,b,86571,21289
121402371,b,42637,21391
30714105061,a,40528,4062
13446060215,b,110469,21970
5270536672,b,82714,25019
32340567005,a,109150,14437
7776007131,a,,
3303246644,a,,11434
17236467101,b,86079,33186
15143127005,b,44207,4794
31554727126,a,97567,62916
22732541770,a,95142,11279
13340353365,a,,
20420557211,b,99511,41684
32323742424,b,146382,46378
10402302623,a,73449,47399
16175670766,a,25150,10235
12345657262,a,44618,19403
11665320564,a,,9537
12617060252,b,40482,15697
2020254206,a,70373,23866
35422316653,a,84216,11808
22357555436,a,47731,2747
23411251712,b,,
25127042732,a,64431,17492
37314162671,b,,
4741635126,a,55403,25981
30011303704,a,,
14760772171,a,69729,47345
24071755370,b,77194,27244
31555031712,a,27216,7496
33034156576,b,30646,15565
25323633662,a,100878,68283
31735410061,a,,
17250517553,a,78992,30244
27371024530,b,89509,29077
32235652724,b,69289,10885
1172160704,a,83949,7407
10715267661,b,121318,28224
26472103057,b,116576,73629
1747317101,b,77904,18818
30570113151,b,74959,13961
13653046256,a,58880,13871
5356616326,a,54071,21967
37761627567,b,112455,46476
17067575070,b,113737,41943
3271011241,a,98541,20360
22136141117,b,86953,22460
30277527734,a,68730,7099
32372652213,b,195199,115103
23523641073,b,127947,36448
27106525745,a,47458,4395
31411350561,a,88434,29036
6220067662,b,77800,44452
23735603342,a,36179,9314
16760056736,a,60453,15297
23702253201,a,88739,25025
24066124013,b,66691,22976
10515765357,a,115988,10195
24413413252,a,,10124
21257273660,a,32583,17860
2206524377,a,,10645
32747642312,b,118452,54525
35607065527,a,48251,28445
21365506374,a,51885,12283
17774127040,a,107595,11353
10662535054,b,32165,18934
34053534470,a,48925,8878
10123323001,a,83012,9049
24507224204,b,71910,31715
11107107444,b,,
13451473665,a,119688,26207
32577754760,a,103092,30393
36477611340,a,73554,60927
5462503515,a,106823,11384
26131115573,a,113317,7394
25441736434,a,68596,11182
11663311513,a,93046,42132
11006112442,b,,19476
16121427002,b,,161312
2424025504,a,123317,49315
16417045516,b,105834,56688
20645574227,a,104256,27732
5445541355,b,75220,55559
521416064,a,,
6331032412,b,106102,37150
25727243026,b,76003,12257
32474462660,b,92601,44904
5543323621,a,,24451
5136236473,a,42814,3517
17760021173,b,132938,63119
6353135331,b,,
31211776747,b,69255,13181
3616505161,b,113752,27762
13454164476,b,120266,25835
23234630152,b,64694,29948
35055467041,b,,
27246717246,a,111682,15232
37554076321,a,84722,16919
23543476413,b,110057,23925
20564260126,a,,1768
24746424716,a,33302,12524
31305065565,b,121546,41642
3215645407,b,43868,17586
27742421564,b,52149,12978
3046351564,b,81348,8033
23363571774,a,,
1745554154,b,50641,43545
31356532645,b,90882,25537
17130247035,b,77255,32202
36730433365,a,147628,29625
26614157703,b,165902,52793
15710110631,a,57513,14446
12464544464,b,51879,19549
27623137606,a,74630,41237
31403242617,a,91118,49320
30346300315,a,99721,5847
14520201126,b,23982,21535
36032005471,a,74252,7042
44243423,a,71519,26388
32765661727,a,,
31372274242,b,111900,29917
32061004231,b,184910,28207
23023124406,a,69150,27737
3700241464,a,34682,6637
12053030672,a,74123,16261
5437062454,a,48557,11375
5064260364,b,67617,34904
13224752432,b,161076,76994
37332113021,a,79991,39385
23154203413,b,55730,24746
6120050343,b,59458,35721
22221425425,b,108799,43397
34717432337,a,72589,22088
35277546434,a,78552,38500
35705151460,a,85427,7063
34472414051,a,51742,10842
30025750175,b,161436,30181
24174320707,b,130246,54459
11676175701,b,69879,16475
35377025756,b,82614,50999
13465060627,a,25055,3446
23412603713,b,79300,19125
3406614242,b,98092,32656
4443012703,b,,9348
30507322654,b,43051,10524
7552347442,a,76869,22649
1071067222,a,68603,13058
34230434270,b,68619,19927
24765527757,b,47737,12626
13717576557,b,20769,7637
16252226023,a,59332,7240
13322657506,b,114144,23672
33141502261,a,,
32175653560,a,16943,2796
25176674223,a,133283,21493
36701122415,a,87282,6734
23167640044,a,,
27417425022,b,,
1727700703,a,63977,30061
30633752315,a,50987,20489
11710466303,a,100322,26705
1436766762,a,,52303
6116635560,a,56687,23635
26166055313,b,,30349
17714213400,b,,33613
34735761125,b,,19456
23370406030,a,72233,22302
15645200726,b,86500,53045
10554204636,b,67131,20085
6104212750,b,101247,28698
30106747472,b,84773,14878
221442121,a,85200,16919
6442146605,b,57538,23973
34702534344,b,46672,15734
24202067544,b,,
12655323177,a,44686,9082
25421150065,a,52128,29465
3360360431,b,121068,52180
3351404550,b,74034,27134
5401522403,a,67797,2299
34027714646,b,91563,14299
10426366410,b,32393,4756
13053575251,b,51324,9144
7432033455,a,58081,7202
7035356500,a,83892,35035
1527434410,b,68894,32983
13317614463,a,,
10003075462,b,87354,21850
6226776442,b,57702,21471
3521266575,a,17733,10117
14330363015,a,38528,12779
23751172370,a,26334,8854
6260753465,a,79212,14618
36574753540,a,142897,48823
32131720601,a,80349,30207
5210241013,b,74994,21112
22476404160,b,32590,9631
3403122320,b,114763,32363
20141242426,b,113469,40924
37622143761,b,103686,18207
30053357457,a,54436,18126
26110434103,a,97136,40518
10226470543,a,116896,19305
35127654104,b,151495,82238
14265616643,a,50064,22566
7216165602,b,93904,24889
14706137714,a,98066,35814
15045007442,a,81799,31432
